V1,23E,0,47385
V1,23I,47386,60751
V1,4E,60752,131138
V1,4I,131139,148735
V1,5E,148736,169475
V1,5I,169476,174029
V1,6E,174030,193868
V1,6I,193869,197931
V2,23E,0,50520
V2,23I,50521,64770
V2,4E,64771,101455
V2,4I,101456,110626
V2,5E,110627,129705
V2,5I,129706,133894
V2,6E,133895,153142
V2,6I,153143,157083
VP,23E,0,52972
VP,23I,52973,67914
VP,4E,67915,117206
VP,4I,117207,129529
VP,5E,129530,145458
VP,5I,145459,148955
VP,6E,148956,168085
VP,6I,168086,172002
V3,23E,0,58474
V3,23I,58475,74968
V3,4E,74969,122396
V3,4I,122397,134253
V3,5E,134254,146309
V3,5I,146310,148956
V3,6E,148957,163485
V3,6I,163486,166460
V3A,23E,0,40886
V3A,23I,40887,52418
V3A,4E,52419,76207
V3A,4I,76208,82154
V3A,5E,82155,94825
V3A,5I,94826,97607
V3A,6E,97608,112825
V3A,6I,112826,115941
MT,23E,0,60605
MT,23I,60606,77700
MT,4E,77701,105902
MT,4I,105903,112952
MT,5E,112953,127128
MT,5I,127129,130241
MT,6E,130242,146078
MT,6I,146079,149321
V4t,23E,0,48174
V4t,23I,48175,61762
V4t,4E,61763,96497
V4t,4I,96498,105181
V4t,5E,105182,120038
V4t,5I,120039,123300
V4t,6E,123301,141143
V4t,6I,141144,144797
V4,23E,0,64446
V4,23I,64447,82624
V4,4E,82625,116479
V4,4I,116480,124943
V4,5E,124944,138933
V4,5I,138934,142005
V4,6E,142006,156166
V4,6I,156167,159066
VOT,23E,0,45312
VOT,23I,45313,58093
VOT,4E,58094,95704
VOT,4I,95705,105107
VOT,5E,105108,120935
VOT,5I,120936,124410
VOT,6E,124411,143418
VOT,6I,143419,147310
MSTd,23E,0,44342
MSTd,23I,44343,56849
MSTd,4E,56850,79373
MSTd,4I,79374,85004
MSTd,5E,85005,99746
MSTd,5I,99747,102983
MSTd,6E,102984,120687
MSTd,6I,120688,124312
PIP,23E,0,44342
PIP,23I,44343,56849
PIP,4E,56850,79373
PIP,4I,79374,85004
PIP,5E,85005,99746
PIP,5I,99747,102983
PIP,6E,102984,120687
PIP,6I,120688,124312
PO,23E,0,44342
PO,23I,44343,56849
PO,4E,56850,79373
PO,4I,79374,85004
PO,5E,85005,99746
PO,5I,99747,102983
PO,6E,102984,120687
PO,6I,120688,124312
DP,23E,0,43933
DP,23I,43934,56325
DP,4E,56326,75221
DP,4I,75222,79945
DP,5E,79946,94124
DP,5I,94125,97237
DP,6E,97238,114265
DP,6I,114266,117752
MIP,23E,0,41273
MIP,23I,41274,52915
MIP,4E,52916,68790
MIP,4I,68791,72759
MIP,5E,72760,80440
MIP,5I,80441,82126
MIP,6E,82127,116727
MIP,6I,116728,123813
MDP,23E,0,44342
MDP,23I,44343,56849
MDP,4E,56850,79373
MDP,4I,79374,85004
MDP,5E,85005,99746
MDP,5I,99747,102983
MDP,6E,102984,120687
MDP,6I,120688,124312
VIP,23E,0,56682
VIP,23I,56683,72670
VIP,4E,72671,98945
VIP,4I,98946,105514
VIP,5E,105515,115613
VIP,5I,115614,117830
VIP,6E,117831,125694
VIP,6I,125695,127304
LIP,23E,0,51982
LIP,23I,51983,66644
LIP,4E,66645,86739
LIP,4I,86740,91763
LIP,5E,91764,103393
LIP,5I,103394,105947
LIP,6E,105948,134062
LIP,6I,134063,139819
PITv,23E,0,45312
PITv,23I,45313,58093
PITv,4E,58094,95704
PITv,4I,95705,105107
PITv,5E,105108,120935
PITv,5I,120936,124410
PITv,6E,124411,143418
PITv,6I,143419,147310
PITd,23E,0,45312
PITd,23I,45313,58093
PITd,4E,58094,95704
PITd,4I,95705,105107
PITd,5E,105108,120935
PITd,5I,120936,124410
PITd,6E,124411,143418
PITd,6I,143419,147310
MSTl,23E,0,44342
MSTl,23I,44343,56849
MSTl,4E,56850,79373
MSTl,4I,79374,85004
MSTl,5E,85005,99746
MSTl,5I,99747,102983
MSTl,6E,102984,120687
MSTl,6I,120688,124312
CITv,23E,0,41695
CITv,23I,41696,53456
CITv,4E,53457,68759
CITv,4I,68760,72585
CITv,5E,72586,86970
CITv,5I,86971,90128
CITv,6E,90129,107403
CITv,6I,107404,110940
CITd,23E,0,41695
CITd,23I,41696,53456
CITd,4E,53457,68759
CITd,4I,68760,72585
CITd,5E,72586,86970
CITd,5I,86971,90128
CITd,6E,90129,107403
CITd,6I,107404,110940
FEF,23E,0,44052
FEF,23I,44053,56477
FEF,4E,56478,79620
FEF,4I,79621,85406
FEF,5E,85407,102349
FEF,5I,102350,106069
FEF,6E,106070,122197
FEF,6I,122198,125499
TF,23E,0,30773
TF,23I,30774,39453
TF,4E,39454,56596
TF,4I,56597,60882
TF,5E,60883,71964
TF,5I,71965,74397
TF,6E,74398,87707
TF,6I,87708,90432
AITv,23E,0,49223
AITv,23I,49224,63107
AITv,4E,63108,81173
AITv,4I,81174,85689
AITv,5E,85690,102671
AITv,5I,102672,106400
AITv,6E,106401,126795
AITv,6I,126796,130971
FST,23E,0,36336
FST,23I,36337,46585
FST,4E,46586,59088
FST,4I,59089,62214
FST,5E,62215,74838
FST,5I,74839,77610
FST,6E,77611,92770
FST,6I,92771,95874
7a,23E,0,49480
7a,23I,49481,63437
7a,4E,63438,76716
7a,4I,76717,80036
7a,5E,80037,95853
7a,5I,95854,99326
7a,6E,99327,118322
7a,6I,118323,122212
STPp,23E,0,41676
STPp,23I,41677,53431
STPp,4E,53432,66523
STPp,4I,66524,69796
STPp,5E,69797,84014
STPp,5I,84015,87136
STPp,6E,87137,104211
STPp,6I,104212,107707
STPa,23E,0,41676
STPa,23I,41677,53431
STPa,4E,53432,66523
STPa,4I,66524,69796
STPa,5E,69797,84014
STPa,5I,84015,87136
STPa,6E,87137,104211
STPa,6I,104212,107707
46,23E,0,32580
46,23I,32581,41770
46,4E,41771,52415
46,4I,52416,55076
46,5E,55077,66926
46,5I,66927,69528
46,6E,69529,85369
46,6I,85370,88613
AITd,23E,0,49223
AITd,23I,49224,63107
AITd,4E,63108,81173
AITd,4I,81174,85689
AITd,5E,85690,102671
AITd,5I,102672,106400
AITd,6E,106401,126795
AITd,6I,126796,130971
TH,23E,0,24711
TH,23I,24712,31681
TH,5E,31682,55034
TH,5I,55035,60162
TH,6E,60163,71023
TH,6I,71024,73247
